"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,screening_eng,,text,"Record ID",,,,,,,,,,,,,
volunteer,screening_eng,,radio,"I have read the information above and consider volunteering for this study.","1, Yes, let's proceed with the questionnaire. | 2, No, I prefer not to take part.",,,,,,,y,,,,,
cutoff_age,screening_eng,"<div class=""rich-text-field-label""><h5>Exclusion Criteria</h5> <p><span style=""font-weight: normal;"">You will be asked about some symptoms or disorders you may have experienced. Please answer honestly, so that we can ensure your well-being and safety during the course of this study. </span></p> <p><span style=""font-weight: normal;"">If you are not sure whether something you experienced counts as a symptom or disorder, please choose ""maybe"" and specify it.</span></p></div>",yesno,"<div class=""rich-text-field-label""><p>Are you between 18 and 35 years old?</p></div>",,,,,,,,y,,,,,
cutoff_colour,screening_eng,,yesno,"Do you have any difficulty distinguishing between red and green, or between yellow and blue (colour-blindness)?",,,,,,,,y,,,,,
cutoff_neuro,screening_eng,,radio,"<div class=""rich-text-field-label""><p><span style=""text-decoration: underline;"">At any point in your life</span>, have you experienced any of the following:</p> <ul> <li>Uncontrolled shaking movements of your whole body or parts of it, with full or partial loss of consciousness (<em>Epilepsy</em>, <em>Seizures</em>)</li> <li>Pulsating headaches possibly accompanied by nausea, sensitivity to light / sound / smell, visual disturbances (<em>Migraine</em>)</li> <li>Surgery on your brain (e.g., to remove a brain tumor, to perform an implant…)</li> <li>Severe concussion</li> <li>Stroke</li> <li>Other neurological conditions</li> </ul></div>","1, Yes | 2, Maybe | 3, No",,,,,,,y,,,,,
cutoff_neuro_extra,screening_eng,,text,"Please specify:",,,,,,,"[cutoff_neuro] = '2'",y,,,,,
cutoff_sleep,screening_eng,,radio,"<div class=""rich-text-field-label""><p><span style=""text-decoration: underline;"">In the past year</span>, have you experienced any of these sleep disturbances? Or has anyone remarked that you do?</p> <ul> <li>Regular difficulty falling or staying asleep (<em>Insomnia</em>)</li> <li>Walking or carrying out complex activities during the night while not fully awake, without remembering them afterward (<em>Sleepwalking</em>)</li> <li>Involuntary habitual grinding of the teeth during sleep (<em>Bruxism</em>)</li> <li>Excessive daytime sleepiness with sudden muscle weakness (<em>Narcolepsy</em>)</li> <li>Unpleasant “creeping” sensation and pain in the lower legs that can be relieved by movement of the legs, such as walking or kicking (<em>Restless Legs Syndrome</em>)</li> <li>Periodically interrupted breathing during sleep that causes gasping or “snorting” noises, more than just snoring (<em>Sleep Apnoea</em>)</li> </ul></div>","1, Yes | 2, Maybe | 3, No",,,,,,,y,,,,,
cutoff_sleep_extra,screening_eng,,text,"Please specify:",,,,,,,"[cutoff_sleep] = '2'",y,,,,,
cutoff_psych,screening_eng,,radio,"<div class=""rich-text-field-label""><p><span style=""text-decoration: underline;"">In the past year</span>, have you experienced any of these psychiatric symptoms?</p> <ul> <li>Depressed mood</li> <li>Extreme mood swings</li> <li>Excessive fears or worries</li> <li>Hallucinations or paranoia</li> <li>Suicidal thoughts</li> <li>Other mental issues</li> </ul></div>","1, Yes | 2, Maybe | 3, No",,,,,,,y,,,,,
cutoff_psych_extra,screening_eng,,text,"Please specify:",,,,,,,"[cutoff_psych] = '2'",y,,,,,
