"% Date [YYYYMMDD]";20230317;;;;;;;
"% Experimenter";"MS";;;;;;;
"% Experiment";"SleepLight";;;;;;;
"% Condition";"SineWaveBlue";;;;;;;
"% Note";"Stimulation of Light";;;;;;;
"% ";;;;;;;;
"% Sample rate [Hz]";40;;"achtzig werte prosekunde";;;;;
"% MinValue";0;;;;;;;
"% MaxValue";4095;;;;;;;
"% NSamples";400;;;;;;;
"% NRepeat";2;;;;;;;
"%";;;;;;;;
"Sample";"Channel1";"Channel2";"Channel3";"Channel4";"Channel5";"Channel6";"Trigger";"Note"
1;4095;0;1;1;1;1;1;
2;4095;0;0;0;0;0;0;
3;4095;0;1;1;1;1;1;
4;4095;0;0;0;0;0;0;"long read"
5;4095;0;1;1;1;1;1;
6;4095;0;0;0;0;0;0;
7;4095;0;1;1;1;1;1;
8;4095;4095;0;0;0;0;0;
9;4095;4095;1;1;1;1;1;
10;4095;4095;0;0;0;0;0;
11;4095;4095;1;1;1;1;1;
12;4095;4095;0;0;0;0;0;
13;4095;4095;0;0;0;0;1;
14;4095;4095;0;0;0;1;0;
15;4095;4095;0;0;0;1;1;
16;4095;0;0;0;1;0;0;
17;4095;0;0;0;1;0;1;
18;4095;0;0;0;1;1;0;
19;4095;0;0;0;1;1;1;
20;4095;0;0;1;0;0;0;
21;4095;0;0;1;0;0;1;
22;4095;0;0;1;0;1;0;
23;4095;4095;0;1;0;1;1;
24;4095;4095;0;1;1;0;0;
25;4095;4095;0;1;1;0;1;
26;4095;4095;0;1;1;1;0;"long read"
27;4095;4095;0;1;1;1;1;
28;4095;4095;1;0;0;0;0;
29;4095;4095;1;0;0;0;1;
30;4095;4095;1;0;0;1;0;
31;4095;0;1;0;0;1;1;
32;4095;0;1;0;1;0;0;
33;4095;0;1;0;1;0;1;
34;4095;0;1;0;1;1;0;
35;4095;0;1;0;1;1;1;
36;4095;0;1;1;0;0;0;
37;4095;0;1;1;0;0;1;
38;4095;0;1;1;0;1;0;
39;4095;0;1;1;0;1;1;
40;4095;0;1;1;1;0;0;
41;4095;0;1;1;1;0;1;
42;4095;0;1;1;1;1;0;
43;4095;0;1;1;1;1;1;
44;4095;0;0;0;0;0;0;
45;4095;0;0;0;0;0;1;
46;4095;4095;0;0;0;1;0;
47;4095;4095;0;0;0;1;1;
48;4095;4095;0;0;1;0;0;
49;4095;4095;0;0;1;0;1;"long read"
50;4095;4095;0;0;1;1;0;
51;4095;4095;0;0;1;1;1;
52;4095;4095;0;1;0;0;0;
53;4095;4095;0;1;0;0;1;
54;4095;4095;0;1;0;1;0;
55;4095;4095;0;1;0;1;1;
56;4095;4095;0;1;1;0;0;
57;4095;4095;0;1;1;0;1;
58;4095;4095;0;1;1;1;0;
59;4095;4095;0;1;1;1;1;
60;4095;4095;1;0;0;0;0;
61;4095;4095;1;0;0;0;1;
62;4095;0;1;0;0;1;0;
63;4095;0;1;0;0;1;1;
64;4095;0;1;0;1;0;0;
65;4095;0;1;0;1;0;1;
66;4095;0;1;0;1;1;0;
67;4095;0;1;0;1;1;1;
68;4095;0;1;1;0;0;0;
69;4095;0;1;1;0;0;1;
70;4095;0;1;1;0;1;0;"long read"
71;4095;0;1;1;0;1;1;
72;4095;0;1;1;1;0;0;
73;4095;0;1;1;1;0;1;
74;4095;0;1;1;1;1;0;
75;4095;0;1;1;1;1;1;
76;4095;0;0;0;0;0;0;
77;4095;4095;0;0;0;0;1;
78;4095;4095;0;0;0;1;0;
79;4095;4095;0;0;0;1;1;
80;4095;4095;0;0;1;0;0;
81;0;4095;0;0;1;0;1;
82;0;4095;0;0;1;1;0;
83;0;4095;0;0;1;1;1;
84;0;4095;0;1;0;0;0;
85;0;4095;0;1;0;0;1;
86;0;4095;0;1;0;1;0;
87;0;4095;0;1;0;1;1;
88;0;4095;0;1;1;0;0;
89;4095;4095;0;1;1;0;1;
90;4095;4095;0;1;1;1;0;
91;4095;4095;0;1;1;1;1;
92;4095;4095;1;0;0;0;0;"long read"
93;4095;0;1;0;0;0;1;
94;4095;0;1;0;0;1;0;
95;4095;0;1;0;0;1;1;
96;4095;0;1;0;1;0;0;
97;0;0;1;0;1;0;1;
98;0;0;1;0;1;1;0;
99;0;0;1;0;1;1;1;
100;0;0;1;1;0;0;0;
101;4095;0;1;1;0;0;1;
102;4095;0;1;1;0;1;0;
103;4095;0;1;1;0;1;1;
104;4095;0;1;1;1;0;0;
105;0;0;1;1;1;0;1;
106;0;0;1;1;1;1;0;
107;4095;0;1;1;1;1;1;
108;4095;4095;0;0;0;0;0;
109;0;4095;0;0;0;0;1;
110;4095;4095;0;0;0;1;0;
111;0;4095;0;0;0;1;1;
112;0;4095;0;0;1;0;0;
113;0;4095;0;0;1;0;1;
114;0;4095;0;0;1;1;0;
115;0;4095;0;0;1;1;1;"long read"
116;0;4095;0;1;0;0;0;
117;0;4095;0;1;0;0;1;
118;0;4095;0;1;0;1;0;
119;4095;4095;0;1;0;1;1;
120;4095;4095;0;1;1;0;0;
121;4095;4095;0;1;1;0;1;
122;4095;4095;0;1;1;1;0;
123;4095;4095;0;1;1;1;1;
124;4095;0;1;0;0;0;0;
125;4095;0;1;0;0;0;1;
126;4095;0;1;0;0;1;0;
127;0;0;1;0;0;1;1;
128;0;0;1;0;1;0;0;
129;0;0;1;0;1;0;1;
130;0;0;1;0;1;1;0;
131;4095;0;1;0;1;1;1;
132;4095;0;1;1;0;0;0;
133;4095;0;1;1;0;0;1;
134;4095;0;1;1;0;1;0;
135;0;0;1;1;0;1;1;
136;0;0;1;1;1;0;0;
137;4095;0;1;1;1;0;1;
138;4095;0;1;1;1;1;0;"long read"
139;0;4095;1;1;1;1;1;
140;4095;4095;0;0;0;0;0;
141;0;4095;0;0;0;0;1;
142;0;4095;0;0;0;1;0;
143;0;4095;0;0;0;1;1;
144;0;4095;0;0;1;0;0;
145;0;4095;0;0;1;0;1;
146;0;4095;0;0;1;1;0;
147;0;4095;0;0;1;1;1;
148;0;4095;0;1;0;0;0;
149;4095;4095;0;1;0;0;1;
150;4095;4095;0;1;0;1;0;
151;4095;4095;0;1;0;1;1;
152;4095;4095;0;1;1;0;0;
153;4095;4095;0;1;1;0;1;
154;4095;4095;0;1;1;1;0;
155;4095;0;0;1;1;1;1;
156;4095;0;1;0;0;0;0;
157;0;0;1;0;0;0;1;
158;0;0;1;0;0;1;0;
159;0;0;1;0;0;1;1;"long read"
160;0;0;1;0;1;0;0;
161;4095;0;1;0;1;0;1;
162;4095;0;1;0;1;1;0;
163;4095;0;1;0;1;1;1;
164;4095;0;1;1;0;0;0;
165;0;0;1;1;0;0;1;
166;0;0;1;1;0;1;0;
167;4095;0;1;1;0;1;1;
168;4095;0;1;1;1;0;0;
169;0;0;1;1;1;0;1;
170;4095;4095;1;1;1;1;0;
171;0;4095;1;1;1;1;1;
172;0;4095;0;0;0;0;0;
173;0;4095;0;0;0;0;1;
174;0;4095;0;0;0;1;0;
175;0;4095;0;0;0;1;1;
176;0;4095;0;0;1;0;0;
177;0;4095;0;0;1;0;1;
178;0;4095;0;0;1;1;0;
179;4095;4095;0;0;1;1;1;
180;4095;4095;0;1;0;0;0;
181;4095;4095;0;1;0;0;1;
182;4095;4095;0;1;0;1;0;"long read"
183;4095;4095;0;1;0;1;1;
184;4095;4095;0;1;1;0;0;
185;4095;4095;0;1;1;0;1;
186;4095;0;0;1;1;1;0;
187;0;0;0;1;1;1;1;
188;0;0;1;0;0;0;0;
189;0;0;1;0;0;0;1;
190;0;0;1;0;0;1;0;
191;4095;0;1;0;0;1;1;
192;4095;0;1;0;1;0;0;
193;4095;0;1;0;1;0;1;
194;4095;0;1;0;1;1;0;
195;0;0;1;0;1;1;1;
196;0;0;1;1;0;0;0;
197;4095;0;1;1;0;0;1;
198;4095;0;1;1;0;1;0;
199;0;0;1;1;0;1;1;
200;4095;0;1;1;1;0;0;
201;0;4095;1;1;1;0;1;
202;0;4095;1;1;1;1;0;
203;0;4095;1;1;1;1;1;
204;0;4095;0;0;0;0;0;"long read"
205;0;4095;0;0;0;0;1;
206;0;4095;0;0;0;1;0;
207;0;4095;0;0;0;1;1;
208;0;4095;0;0;1;0;0;
209;4095;4095;0;0;1;0;1;
210;4095;4095;0;0;1;1;0;
211;4095;4095;0;0;1;1;1;
212;4095;4095;0;1;0;0;0;
213;4095;4095;0;1;0;0;1;
214;4095;4095;0;1;0;1;0;
215;4095;4095;0;1;0;1;1;
216;4095;4095;0;1;1;0;0;
217;0;0;0;1;1;0;1;
218;0;0;0;1;1;1;0;
219;0;0;0;1;1;1;1;
220;0;0;1;0;0;0;0;
221;4095;0;1;0;0;0;1;
222;4095;0;1;0;0;1;0;
223;4095;0;1;0;0;1;1;
224;4095;0;1;0;1;0;0;
