% Date [YYYYMMDD];20230317;;;;;
% Experimenter;MS;;;;;
% Experiment;SleepLight;;;;;
% Condition;SineWaveBlue;;;;;
% Note;Stimulation of Light;;;;;
% ;;;;;;
% Sample rate [Hz];80;;achtzig werte prosekunde;;;
% MinValue;0;;;;;
% MaxValue;4095;;;;;
% NSamples;800;;;;;
% NRepeat;30;;;;;
%;;;;;;
Sample;Channel1;Channel2;Channel3;Channel4;Trigger;Note
1;4095;4095;0;0;1;
2;0;0;0;0;0;
3;4095;4095;0;0;1;
4;0;0;0;0;0;
5;4095;4095;0;0;1;
6;0;0;0;0;0;
7;4095;4095;0;0;1;
8;0;0;0;0;0;
9;4095;4095;0;0;1;
10;0;0;0;0;0;
11;4095;4095;0;0;1;
12;0;0;0;0;0;
13;4095;4095;0;0;1;
14;0;0;0;0;0;
15;4095;4095;0;0;1;
16;0;0;0;0;0;
17;4095;4095;0;0;1;
18;0;0;0;0;0;
19;4095;4095;0;0;1;
20;0;0;0;0;0;
21;4095;4095;0;0;1;
22;0;0;0;0;0;
23;4095;4095;0;0;1;
24;0;0;0;0;0;
25;4095;4095;0;0;1;
26;0;0;0;0;0;
27;4095;4095;0;0;1;
28;0;0;0;0;0;
29;4095;4095;0;0;1;
30;0;0;0;0;0;
31;4095;4095;0;0;1;
32;0;0;0;0;0;
33;4095;4095;0;0;1;
34;0;0;0;0;0;
35;4095;4095;0;0;1;
36;0;0;0;0;0;
37;4095;4095;0;0;1;
38;0;0;0;0;0;
39;4095;4095;0;0;1;
40;0;0;0;0;0;
41;4095;4095;0;0;1;
42;0;0;0;0;0;
43;4095;4095;0;0;1;
44;0;0;0;0;0;
45;4095;4095;0;0;1;
46;0;0;0;0;0;
47;4095;4095;0;0;1;
48;0;0;0;0;0;
49;4095;4095;0;0;1;
50;0;0;0;0;0;
51;4095;4095;0;0;1;
52;0;0;0;0;0;
53;4095;4095;0;0;1;
54;0;0;0;0;0;
55;4095;4095;0;0;1;
56;0;0;0;0;0;
57;4095;4095;0;0;1;
58;0;0;0;0;0;
59;4095;4095;0;0;1;
60;0;0;0;0;0;
61;4095;4095;0;0;1;
62;0;0;0;0;0;
63;4095;4095;0;0;1;
64;0;0;0;0;0;
65;4095;4095;0;0;1;
66;0;0;0;0;0;
67;4095;4095;0;0;1;
68;0;0;0;0;0;
69;4095;4095;0;0;1;
70;0;0;0;0;0;
71;4095;4095;0;0;1;
72;0;0;0;0;0;
73;4095;4095;0;0;1;
74;0;0;0;0;0;
75;4095;4095;0;0;1;
76;0;0;0;0;0;
77;4095;4095;0;0;1;
78;0;0;0;0;0;
79;4095;4095;0;0;1;
80;0;0;0;0;0;
81;4095;4095;0;0;1;
82;0;0;0;0;0;
83;4095;4095;0;0;1;
84;0;0;0;0;0;
85;4095;4095;0;0;1;
86;0;0;0;0;0;
87;4095;4095;0;0;1;
88;0;0;0;0;0;
89;4095;4095;0;0;1;
90;0;0;0;0;0;
91;4095;4095;0;0;1;
92;0;0;0;0;0;
93;4095;4095;0;0;1;
94;0;0;0;0;0;
95;4095;4095;0;0;1;
96;0;0;0;0;0;
97;4095;4095;0;0;1;
98;0;0;0;0;0;
99;4095;4095;0;0;1;
100;0;0;0;0;0;
101;4095;4095;0;0;1;
102;0;0;0;0;0;
103;4095;4095;0;0;1;
104;0;0;0;0;0;
105;4095;4095;0;0;1;
106;0;0;0;0;0;
107;4095;4095;0;0;1;
108;0;0;0;0;0;
109;4095;4095;0;0;1;
110;0;0;0;0;0;
111;4095;4095;0;0;1;
112;0;0;0;0;0;
113;4095;4095;0;0;1;
114;0;0;0;0;0;
115;4095;4095;0;0;1;
116;0;0;0;0;0;
117;4095;4095;0;0;1;
118;0;0;0;0;0;
119;4095;4095;0;0;1;
120;0;0;0;0;0;
121;4095;4095;0;0;1;
122;0;0;0;0;0;
123;4095;4095;0;0;1;
124;0;0;0;0;0;
125;4095;4095;0;0;1;
126;0;0;0;0;0;
127;4095;4095;0;0;1;
128;0;0;0;0;0;
129;4095;4095;0;0;1;
130;0;0;0;0;0;
131;4095;4095;0;0;1;
132;0;0;0;0;0;
133;4095;4095;0;0;1;
134;0;0;0;0;0;
135;4095;4095;0;0;1;
136;0;0;0;0;0;
137;4095;4095;0;0;1;
138;0;0;0;0;0;
139;4095;4095;0;0;1;
140;0;0;0;0;0;
141;4095;4095;0;0;1;
142;0;0;0;0;0;
143;4095;4095;0;0;1;
144;0;0;0;0;0;
145;4095;4095;0;0;1;
146;0;0;0;0;0;
147;4095;4095;0;0;1;
148;0;0;0;0;0;
149;4095;4095;0;0;1;
150;0;0;0;0;0;
151;4095;4095;0;0;1;
152;0;0;0;0;0;
153;4095;4095;0;0;1;
154;0;0;0;0;0;
155;4095;4095;0;0;1;
156;0;0;0;0;0;
157;4095;4095;0;0;1;
158;0;0;0;0;0;
159;4095;4095;0;0;1;
160;0;0;0;0;0;
161;4095;4095;0;0;1;
162;0;0;0;0;0;
163;4095;4095;0;0;1;
164;0;0;0;0;0;
165;4095;4095;0;0;1;
166;0;0;0;0;0;
167;4095;4095;0;0;1;
168;0;0;0;0;0;
169;4095;4095;0;0;1;
170;0;0;0;0;0;
171;4095;4095;0;0;1;
172;0;0;0;0;0;
173;4095;4095;0;0;1;
174;0;0;0;0;0;
175;4095;4095;0;0;1;
176;0;0;0;0;0;
177;4095;4095;0;0;1;
178;0;0;0;0;0;
179;4095;4095;0;0;1;
180;0;0;0;0;0;
181;4095;4095;0;0;1;
182;0;0;0;0;0;
183;4095;4095;0;0;1;
184;0;0;0;0;0;
185;4095;4095;0;0;1;
186;0;0;0;0;0;
187;4095;4095;0;0;1;
188;0;0;0;0;0;
189;4095;4095;0;0;1;
190;0;0;0;0;0;
191;4095;4095;0;0;1;
192;0;0;0;0;0;
193;4095;4095;0;0;1;
194;0;0;0;0;0;
195;4095;4095;0;0;1;
196;0;0;0;0;0;
197;4095;4095;0;0;1;
198;0;0;0;0;0;
199;4095;4095;0;0;1;
200;0;0;0;0;0;
201;4095;4095;0;0;1;
202;0;0;0;0;0;
203;4095;4095;0;0;1;
204;0;0;0;0;0;
205;4095;4095;0;0;1;
206;0;0;0;0;0;
207;4095;4095;0;0;1;
208;0;0;0;0;0;
209;4095;4095;0;0;1;
210;0;0;0;0;0;
211;4095;4095;0;0;1;
212;0;0;0;0;0;
213;4095;4095;0;0;1;
214;0;0;0;0;0;
215;4095;4095;0;0;1;
216;0;0;0;0;0;
217;4095;4095;0;0;1;
218;0;0;0;0;0;
219;4095;4095;0;0;1;
220;0;0;0;0;0;
221;4095;4095;0;0;1;
222;0;0;0;0;0;
223;4095;4095;0;0;1;
224;0;0;0;0;0;
225;4095;4095;0;0;1;
226;0;0;0;0;0;
227;4095;4095;0;0;1;
228;0;0;0;0;0;
229;4095;4095;0;0;1;
230;0;0;0;0;0;
231;4095;4095;0;0;1;
232;0;0;0;0;0;
233;4095;4095;0;0;1;
234;0;0;0;0;0;
235;4095;4095;0;0;1;
236;0;0;0;0;0;
237;4095;4095;0;0;1;
238;0;0;0;0;0;
239;4095;4095;0;0;1;
240;0;0;0;0;0;
241;4095;4095;0;0;1;
242;0;0;0;0;0;
243;4095;4095;0;0;1;
244;0;0;0;0;0;
245;4095;4095;0;0;1;
246;0;0;0;0;0;
247;4095;4095;0;0;1;
248;0;0;0;0;0;
249;4095;4095;0;0;1;
250;0;0;0;0;0;
251;4095;4095;0;0;1;
252;0;0;0;0;0;
253;4095;4095;0;0;1;
254;0;0;0;0;0;
255;4095;4095;0;0;1;
256;0;0;0;0;0;
257;4095;4095;0;0;1;
258;0;0;0;0;0;
259;4095;4095;0;0;1;
260;0;0;0;0;0;
261;4095;4095;0;0;1;
262;0;0;0;0;0;
263;4095;4095;0;0;1;
264;0;0;0;0;0;
265;4095;4095;0;0;1;
266;0;0;0;0;0;
267;4095;4095;0;0;1;
268;0;0;0;0;0;
269;4095;4095;0;0;1;
270;0;0;0;0;0;
271;4095;4095;0;0;1;
272;0;0;0;0;0;
273;4095;4095;0;0;1;
274;0;0;0;0;0;
275;4095;4095;0;0;1;
276;0;0;0;0;0;
277;4095;4095;0;0;1;
278;0;0;0;0;0;
279;4095;4095;0;0;1;
280;0;0;0;0;0;
281;4095;4095;0;0;1;
282;0;0;0;0;0;
283;4095;4095;0;0;1;
284;0;0;0;0;0;
285;4095;4095;0;0;1;
286;0;0;0;0;0;
287;4095;4095;0;0;1;
288;0;0;0;0;0;
289;4095;4095;0;0;1;
290;0;0;0;0;0;
291;4095;4095;0;0;1;
292;0;0;0;0;0;
293;4095;4095;0;0;1;
294;0;0;0;0;0;
295;4095;4095;0;0;1;
296;0;0;0;0;0;
297;4095;4095;0;0;1;
298;0;0;0;0;0;
299;4095;4095;0;0;1;
300;0;0;0;0;0;
301;4095;4095;0;0;1;
302;0;0;0;0;0;
303;4095;4095;0;0;1;
304;0;0;0;0;0;
305;4095;4095;0;0;1;
306;0;0;0;0;0;
307;4095;4095;0;0;1;
308;0;0;0;0;0;
309;4095;4095;0;0;1;
310;0;0;0;0;0;
311;4095;4095;0;0;1;
312;0;0;0;0;0;
313;4095;4095;0;0;1;
314;0;0;0;0;0;
315;4095;4095;0;0;1;
316;0;0;0;0;0;
317;4095;4095;0;0;1;
318;0;0;0;0;0;
319;4095;4095;0;0;1;
320;0;0;0;0;0;
321;4095;4095;0;0;1;
322;0;0;0;0;0;
323;4095;4095;0;0;1;
324;0;0;0;0;0;
325;4095;4095;0;0;1;
326;0;0;0;0;0;
327;4095;4095;0;0;1;
328;0;0;0;0;0;
329;4095;4095;0;0;1;
330;0;0;0;0;0;
331;4095;4095;0;0;1;
332;0;0;0;0;0;
333;4095;4095;0;0;1;
334;0;0;0;0;0;
335;4095;4095;0;0;1;
336;0;0;0;0;0;
337;4095;4095;0;0;1;
338;0;0;0;0;0;
339;4095;4095;0;0;1;
340;0;0;0;0;0;
341;4095;4095;0;0;1;
