Column1,Column2,Column3,Column4,Column5,Column8,Column9
% Date [YYYYMMDD],20230317,,,,,
% Experimenter,MS,,,,,
% Experiment,SleepLight,,,,,
% Condition,SineWaveBlue,,,,,
% Note,Stimulation of Light,,,,,
% ,,,,,,
% Sample rate [Hz],80,,achtzig werte prosekunde,,,
% MinValue,0,,,,,
% MaxValue,1000,,,,,
% NSamples,800,,,,,
% NRepeat,2,,,,,
%,,,,,,
Sample,Channel1,Channel2,Channel3,Channel4,Trigger,Note
1,1000,1000.00,0,0,1,
2,0,0,0,0,0,
3,1000,1000,0,0,1,
4,0,0,0,0,0,
5,1000,1000.00,0,0,1,
6,0,0,0,0,0,
7,1000,1000,0,0,1,
8,0,0,0,0,0,
9,1000.00,1000.00,0,0,1,
10,0,0,0,0,0,
11,1000,1000,0,0,1,
12,0,0,0,0,0,
13,1000.00,1000.00,0,0,1,
14,0,0,0,0,0,
15,1000,1000,0,0,1,
16,0,0,0,0,0,
17,1000.00,1000.00,0,0,1,
18,0,0,0,0,0,
19,1000,1000,0,0,1,
20,0,0,0,0,0,
21,1000.00,1000.00,0,0,1,
22,0,0,0,0,0,
23,1000,1000,0,0,1,
24,0,0,0,0,0,
25,1000.00,1000.00,0,0,1,
26,0,0,0,0,0,
27,1000,1000,0,0,1,
28,0,0,0,0,0,
29,1000.00,1000.00,0,0,1,
30,0,0,0,0,0,
31,1000,1000,0,0,1,
32,0,0,0,0,0,
33,1000.00,1000.00,0,0,1,
34,0,0,0,0,0,
35,1000,1000,0,0,1,
36,0,0,0,0,0,
37,1000.00,1000.00,0,0,1,
38,0,0,0,0,0,
39,1000,1000,0,0,1,
40,0,0,0,0,0,
41,1000.00,1000.00,0,0,1,
42,0,0,0,0,0,
43,1000,1000,0,0,1,
44,0,0,0,0,0,
45,1000.00,1000.00,0,0,1,
46,0,0,0,0,0,
47,1000,1000,0,0,1,
48,0,0,0,0,0,
49,1000.00,1000.00,0,0,1,
50,0,0,0,0,0,
51,1000,1000,0,0,1,
52,0,0,0,0,0,
53,1000.00,1000.00,0,0,1,
54,0,0,0,0,0,
55,1000,1000,0,0,1,
56,0,0,0,0,0,
57,1000.00,1000.00,0,0,1,
58,0,0,0,0,0,
59,1000,1000,0,0,1,
60,0,0,0,0,0,
61,1000.00,1000.00,0,0,1,
62,0,0,0,0,0,
63,1000,1000,0,0,1,
64,0,0,0,0,0,
65,1000.00,1000.00,0,0,1,
66,0,0,0,0,0,
67,1000,1000,0,0,1,
68,0,0,0,0,0,
69,1000.00,1000.00,0,0,1,
70,0,0,0,0,0,
71,1000,1000,0,0,1,
72,0,0,0,0,0,
73,1000.00,1000.00,0,0,1,
74,0,0,0,0,0,
75,1000,1000,0,0,1,
76,0,0,0,0,0,
77,1000.00,1000.00,0,0,1,
78,0,0,0,0,0,
79,1000,1000,0,0,1,
80,0,0,0,0,0,
81,1000.00,1000.00,0,0,1,
82,0,0,0,0,0,
83,1000,1000,0,0,1,
84,0,0,0,0,0,
85,1000.00,1000.00,0,0,1,
86,0,0,0,0,0,
87,1000,1000,0,0,1,
88,0,0,0,0,0,
89,1000.00,1000.00,0,0,1,
90,0,0,0,0,0,
91,1000,1000,0,0,1,
92,0,0,0,0,0,
93,1000.00,1000.00,0,0,1,
94,0,0,0,0,0,
95,1000,1000,0,0,1,
96,0,0,0,0,0,
97,1000.00,1000.00,0,0,1,
98,0,0,0,0,0,
99,1000,1000,0,0,1,
100,0,0,0,0,0,
101,1000.00,1000.00,0,0,1,
102,0,0,0,0,0,
103,1000,1000,0,0,1,
104,0,0,0,0,0,
105,1000.00,1000.00,0,0,1,
106,0,0,0,0,0,
107,1000,1000,0,0,1,
108,0,0,0,0,0,
109,1000.00,1000.00,0,0,1,
110,0,0,0,0,0,
111,1000,1000,0,0,1,
112,0,0,0,0,0,
113,1000.00,1000.00,0,0,1,
114,0,0,0,0,0,
115,1000,1000,0,0,1,
116,0,0,0,0,0,
117,1000.00,1000.00,0,0,1,
118,0,0,0,0,0,
119,1000,1000,0,0,1,
120,0,0,0,0,0,
121,1000.00,1000.00,0,0,1,
122,0,0,0,0,0,
123,1000,1000,0,0,1,
124,0,0,0,0,0,
125,1000.00,1000.00,0,0,1,
126,0,0,0,0,0,
