% Date [YYYYMMDD],20230814,,,,,,,
% Experimenter,LH,,,,,,,
% Experiment,GammaSleep,,,,,,,
% Condition,exp,,,,,,,
% Note,,,,,,,,
%  ,,,,,,,,
% Sample rate [Hz],80,,,,,,,
% MinValue,0,,,,,,,
% MaxValue,2000,,,,,,,
% NSamples,80,,,,,,,
% NRepeat,28800,,,,,,,
% ,,,,,,,,
Sample,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Trigger,Note
1,2000,2000,1,1,1,1,1,
2,0,0,0,0,0,0,0,
3,2000,2000,0,0,0,0,0,
4,0,0,0,0,0,0,0,
5,2000,2000,0,0,0,0,0,
6,0,0,0,0,0,0,0,
7,2000,2000,0,0,0,0,0,
8,0,0,0,0,0,0,0,
9,2000,2000,0,0,0,0,0,
10,0,0,0,0,0,0,0,
11,2000,2000,0,0,0,0,0,
12,0,0,0,0,0,0,0,
13,2000,2000,0,0,0,0,0,
14,0,0,0,0,0,0,0,
15,2000,2000,0,0,0,0,0,
16,0,0,0,0,0,0,0,
17,2000,2000,0,0,0,0,0,
18,0,0,0,0,0,0,0,
19,2000,2000,0,0,0,0,0,
20,0,0,0,0,0,0,0,
21,2000,2000,0,0,0,0,0,
22,0,0,0,0,0,0,0,
23,2000,2000,0,0,0,0,0,
24,0,0,0,0,0,0,0,
25,2000,2000,0,0,0,0,0,
26,0,0,0,0,0,0,0,
27,2000,2000,0,0,0,0,0,
28,0,0,0,0,0,0,0,
29,2000,2000,0,0,0,0,0,
30,0,0,0,0,0,0,0,
31,2000,2000,0,0,0,0,0,
32,0,0,0,0,0,0,0,
33,2000,2000,0,0,0,0,0,
34,0,0,0,0,0,0,0,
35,2000,2000,0,0,0,0,0,
36,0,0,0,0,0,0,0,
37,2000,2000,0,0,0,0,0,
38,0,0,0,0,0,0,0,
39,2000,2000,0,0,0,0,0,
40,0,0,0,0,0,0,0,
41,2000,2000,0,0,0,0,0,
42,0,0,0,0,0,0,0,
43,2000,2000,0,0,0,0,0,
44,0,0,0,0,0,0,0,
45,2000,2000,0,0,0,0,0,
46,0,0,0,0,0,0,0,
47,2000,2000,0,0,0,0,0,
48,0,0,0,0,0,0,0,
49,2000,2000,0,0,0,0,0,
50,0,0,0,0,0,0,0,
51,2000,2000,0,0,0,0,0,
52,0,0,0,0,0,0,0,
53,2000,2000,0,0,0,0,0,
54,0,0,0,0,0,0,0,
55,2000,2000,0,0,0,0,0,
56,0,0,0,0,0,0,0,
57,2000,2000,0,0,0,0,0,
58,0,0,0,0,0,0,0,
59,2000,2000,0,0,0,0,0,
60,0,0,0,0,0,0,0,
61,2000,2000,0,0,0,0,0,
62,0,0,0,0,0,0,0,
63,2000,2000,0,0,0,0,0,
64,0,0,0,0,0,0,0,
65,2000,2000,0,0,0,0,0,
66,0,0,0,0,0,0,0,
67,2000,2000,0,0,0,0,0,
68,0,0,0,0,0,0,0,
69,2000,2000,0,0,0,0,0,
70,0,0,0,0,0,0,0,
71,2000,2000,0,0,0,0,0,
72,0,0,0,0,0,0,0,
73,2000,2000,0,0,0,0,0,
74,0,0,0,0,0,0,0,
75,2000,2000,0,0,0,0,0,
76,0,0,0,0,0,0,0,
77,2000,2000,0,0,0,0,0,
78,0,0,0,0,0,0,0,
79,2000,2000,0,0,0,0,0,
80,0,0,0,0,0,0,0,
