% Date [YYYYMMDD],20230626,,,,,,,
% Experimenter,LH,,,,,,,
% Experiment,GammaSleep,,,,,,,
% Condition,exp,,,,,,,
% Note,,,,,,,,
%  ,,,,,,,,
% Sample rate [Hz],80,,,,,,,
% MinValue,0,,,,,,,
% MaxValue,320,,,,,,,
% NSamples,400,,,,,,,
% NRepeat,1,,,,,,,
% ,,,,,,,,
Sample,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Trigger,Note
1,320,320,0,0,0,0,0,
2,0,0,0,0,0,0,0,
3,319,319,0,0,0,0,0,
4,0,0,0,0,0,0,0,
5,319,319,0,0,0,0,0,
6,0,0,0,0,0,0,0,
7,318,318,0,0,0,0,0,
8,0,0,0,0,0,0,0,
9,316,316,0,0,0,0,0,
10,0,0,0,0,0,0,0,
11,315,315,0,0,0,0,0,
12,0,0,0,0,0,0,0,
13,314,314,0,0,0,0,0,
14,0,0,0,0,0,0,0,
15,313,313,0,0,0,0,0,
16,0,0,0,0,0,0,0,
17,311,311,0,0,0,0,0,
18,0,0,0,0,0,0,0,
19,310,310,0,0,0,0,0,
20,0,0,0,0,0,0,0,
21,309,309,0,0,0,0,0,
22,0,0,0,0,0,0,0,
23,307,307,0,0,0,0,0,
24,0,0,0,0,0,0,0,
25,306,306,0,0,0,0,0,
26,0,0,0,0,0,0,0,
27,304,304,0,0,0,0,0,
28,0,0,0,0,0,0,0,
29,303,303,0,0,0,0,0,
30,0,0,0,0,0,0,0,
31,301,301,0,0,0,0,0,
32,0,0,0,0,0,0,0,
33,299,299,0,0,0,0,0,
34,0,0,0,0,0,0,0,
35,298,298,0,0,0,0,0,
36,0,0,0,0,0,0,0,
37,296,296,0,0,0,0,0,
38,0,0,0,0,0,0,0,
39,294,294,0,0,0,0,0,
40,0,0,0,0,0,0,0,
41,293,293,0,0,0,0,0,
42,0,0,0,0,0,0,0,
43,291,291,0,0,0,0,0,
44,0,0,0,0,0,0,0,
45,289,289,0,0,0,0,0,
46,0,0,0,0,0,0,0,
47,288,288,0,0,0,0,0,
48,0,0,0,0,0,0,0,
49,286,286,0,0,0,0,0,
50,0,0,0,0,0,0,0,
51,284,284,0,0,0,0,0,
52,0,0,0,0,0,0,0,
53,282,282,0,0,0,0,0,
54,0,0,0,0,0,0,0,
55,280,280,0,0,0,0,0,
56,0,0,0,0,0,0,0,
57,278,278,0,0,0,0,0,
58,0,0,0,0,0,0,0,
59,277,277,0,0,0,0,0,
60,0,0,0,0,0,0,0,
61,275,275,0,0,0,0,0,
62,0,0,0,0,0,0,0,
63,273,273,0,0,0,0,0,
64,0,0,0,0,0,0,0,
65,271,271,0,0,0,0,0,
66,0,0,0,0,0,0,0,
67,269,269,0,0,0,0,0,
68,0,0,0,0,0,0,0,
69,267,267,0,0,0,0,0,
70,0,0,0,0,0,0,0,
71,265,265,0,0,0,0,0,
72,0,0,0,0,0,0,0,
73,263,263,0,0,0,0,0,
74,0,0,0,0,0,0,0,
75,261,261,0,0,0,0,0,
76,0,0,0,0,0,0,0,
77,259,259,0,0,0,0,0,
78,0,0,0,0,0,0,0,
79,257,257,0,0,0,0,0,
80,0,0,0,0,0,0,0,
81,255,255,0,0,0,0,0,
82,0,0,0,0,0,0,0,
83,253,253,0,0,0,0,0,
84,0,0,0,0,0,0,0,
85,251,251,0,0,0,0,0,
86,0,0,0,0,0,0,0,
87,249,249,0,0,0,0,0,
88,0,0,0,0,0,0,0,
89,247,247,0,0,0,0,0,
90,0,0,0,0,0,0,0,
91,245,245,0,0,0,0,0,
92,0,0,0,0,0,0,0,
93,243,243,0,0,0,0,0,
94,0,0,0,0,0,0,0,
95,241,241,0,0,0,0,0,
96,0,0,0,0,0,0,0,
97,239,239,0,0,0,0,0,
98,0,0,0,0,0,0,0,
99,237,237,0,0,0,0,0,
100,0,0,0,0,0,0,0,
101,235,235,0,0,0,0,0,
102,0,0,0,0,0,0,0,
103,233,233,0,0,0,0,0,
104,0,0,0,0,0,0,0,
105,231,231,0,0,0,0,0,
106,0,0,0,0,0,0,0,
107,229,229,0,0,0,0,0,
108,0,0,0,0,0,0,0,
109,227,227,0,0,0,0,0,
110,0,0,0,0,0,0,0,
111,224,224,0,0,0,0,0,
112,0,0,0,0,0,0,0,
113,222,222,0,0,0,0,0,
114,0,0,0,0,0,0,0,
115,220,220,0,0,0,0,0,
116,0,0,0,0,0,0,0,
117,218,218,0,0,0,0,0,
118,0,0,0,0,0,0,0,
119,216,216,0,0,0,0,0,
120,0,0,0,0,0,0,0,
121,214,214,0,0,0,0,0,
122,0,0,0,0,0,0,0,
123,212,212,0,0,0,0,0,
124,0,0,0,0,0,0,0,
125,210,210,0,0,0,0,0,
126,0,0,0,0,0,0,0,
127,208,208,0,0,0,0,0,
128,0,0,0,0,0,0,0,
129,205,205,0,0,0,0,0,
130,0,0,0,0,0,0,0,
131,203,203,0,0,0,0,0,
132,0,0,0,0,0,0,0,
133,201,201,0,0,0,0,0,
134,0,0,0,0,0,0,0,
135,199,199,0,0,0,0,0,
136,0,0,0,0,0,0,0,
137,197,197,0,0,0,0,0,
138,0,0,0,0,0,0,0,
139,195,195,0,0,0,0,0,
140,0,0,0,0,0,0,0,
141,193,193,0,0,0,0,0,
142,0,0,0,0,0,0,0,
143,191,191,0,0,0,0,0,
144,0,0,0,0,0,0,0,
145,188,188,0,0,0,0,0,
146,0,0,0,0,0,0,0,
147,186,186,0,0,0,0,0,
148,0,0,0,0,0,0,0,
149,184,184,0,0,0,0,0,
150,0,0,0,0,0,0,0,
151,182,182,0,0,0,0,0,
152,0,0,0,0,0,0,0,
153,180,180,0,0,0,0,0,
154,0,0,0,0,0,0,0,
155,178,178,0,0,0,0,0,
156,0,0,0,0,0,0,0,
157,176,176,0,0,0,0,0,
158,0,0,0,0,0,0,0,
159,174,174,0,0,0,0,0,
160,0,0,0,0,0,0,0,
161,172,172,0,0,0,0,0,
162,0,0,0,0,0,0,0,
163,169,169,0,0,0,0,0,
164,0,0,0,0,0,0,0,
165,167,167,0,0,0,0,0,
166,0,0,0,0,0,0,0,
167,165,165,0,0,0,0,0,
168,0,0,0,0,0,0,0,
169,163,163,0,0,0,0,0,
170,0,0,0,0,0,0,0,
171,161,161,0,0,0,0,0,
172,0,0,0,0,0,0,0,
173,159,159,0,0,0,0,0,
174,0,0,0,0,0,0,0,
175,157,157,0,0,0,0,0,
176,0,0,0,0,0,0,0,
177,155,155,0,0,0,0,0,
178,0,0,0,0,0,0,0,
179,153,153,0,0,0,0,0,
180,0,0,0,0,0,0,0,
181,151,151,0,0,0,0,0,
182,0,0,0,0,0,0,0,
183,148,148,0,0,0,0,0,
184,0,0,0,0,0,0,0,
185,146,146,0,0,0,0,0,
186,0,0,0,0,0,0,0,
187,144,144,0,0,0,0,0,
188,0,0,0,0,0,0,0,
189,142,142,0,0,0,0,0,
190,0,0,0,0,0,0,0,
191,140,140,0,0,0,0,0,
192,0,0,0,0,0,0,0,
193,138,138,0,0,0,0,0,
194,0,0,0,0,0,0,0,
195,136,136,0,0,0,0,0,
196,0,0,0,0,0,0,0,
197,134,134,0,0,0,0,0,
198,0,0,0,0,0,0,0,
199,132,132,0,0,0,0,0,
200,0,0,0,0,0,0,0,
201,130,130,0,0,0,0,0,
202,0,0,0,0,0,0,0,
203,128,128,0,0,0,0,0,
204,0,0,0,0,0,0,0,
205,126,126,0,0,0,0,0,
206,0,0,0,0,0,0,0,
207,124,124,0,0,0,0,0,
208,0,0,0,0,0,0,0,
209,122,122,0,0,0,0,0,
210,0,0,0,0,0,0,0,
211,120,120,0,0,0,0,0,
212,0,0,0,0,0,0,0,
213,118,118,0,0,0,0,0,
214,0,0,0,0,0,0,0,
215,116,116,0,0,0,0,0,
216,0,0,0,0,0,0,0,
217,114,114,0,0,0,0,0,
